ticker,industry,name,period,unit,value,group
HAG,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q1-2025,Tỷ VND,9743.27,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q1-2025,Tỷ VND,7234.39,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q1-2025,Tỷ VND,3069.3,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q1-2025,Tỷ VND,6014.48,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q4-2024,Tỷ VND,9325.63,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q4-2024,Tỷ VND,6766.08,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q4-2024,Tỷ VND,2935.75,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q4-2024,Tỷ VND,6007.68,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q3-2024,Tỷ VND,8959.83,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q3-2024,Tỷ VND,6527.21,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q3-2024,Tỷ VND,2833.98,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q3-2024,Tỷ VND,6012.54,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2024,Tỷ VND,8420.37,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2024,Tỷ VND,4885.28,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2024,Tỷ VND,2062.93,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2024,Tỷ VND,6118.53,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2025,Tỷ VND,2329.41,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2025,Tỷ VND,3820.1,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2025,Tỷ VND,1387.31,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2025,Tỷ VND,835.1,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Doanh thu thuần,Q1-2025,Tỷ VND,1379.76,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Doanh thu thuần,Q1-2025,Tỷ VND,3609.35,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Doanh thu thuần,Q1-2025,Tỷ VND,1123.6,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Doanh thu thuần,Q1-2025,Tỷ VND,608.69,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Doanh thu thuần,Q4-2024,Tỷ VND,1589.33,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Doanh thu thuần,Q4-2024,Tỷ VND,3611.23,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Doanh thu thuần,Q4-2024,Tỷ VND,1713.73,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Doanh thu thuần,Q4-2024,Tỷ VND,758.47,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Doanh thu thuần,Q3-2024,Tỷ VND,1431.7,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Doanh thu thuần,Q3-2024,Tỷ VND,3525.03,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Doanh thu thuần,Q3-2024,Tỷ VND,1313.76,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Doanh thu thuần,Q3-2024,Tỷ VND,750.14,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2024,Tỷ VND,1521.08,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2024,Tỷ VND,3184.67,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2024,Tỷ VND,1321.18,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Doanh thu thuần,Q2-2024,Tỷ VND,816.93,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2025,Tỷ VND,-1441.76,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2025,Tỷ VND,-2995.03,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2025,Tỷ VND,-1044.79,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2025,Tỷ VND,-629.02,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Giá vốn hàng bán,Q1-2025,Tỷ VND,-815.3,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q1-2025,Tỷ VND,-2792.16,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Giá vốn hàng bán,Q1-2025,Tỷ VND,-833.13,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q1-2025,Tỷ VND,-487.07,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Giá vốn hàng bán,Q4-2024,Tỷ VND,-1007.42,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q4-2024,Tỷ VND,-3080.76,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Giá vốn hàng bán,Q4-2024,Tỷ VND,-1505.97,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q4-2024,Tỷ VND,-564.24,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Giá vốn hàng bán,Q3-2024,Tỷ VND,-822.34,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q3-2024,Tỷ VND,-2901.41,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Giá vốn hàng bán,Q3-2024,Tỷ VND,-1090.97,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q3-2024,Tỷ VND,-568.25,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2024,Tỷ VND,-1038.73,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2024,Tỷ VND,-2754.16,KQKD - Doanh nghiệp
BAF,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2024,Tỷ VND,-1207.25,KQKD - Doanh nghiệp
VLC,Thực phẩm và đồ uống,Giá vốn hàng bán,Q2-2024,Tỷ VND,-585.8,KQKD - Doanh nghiệp
HAG,Thực phẩm và đồ uống,Lợi nhuận gộp,Q2-2025,Tỷ VND,887.65,KQKD - Doanh nghiệp
DBC,Thực phẩm và đồ uống,Lợi nhuận gộp,Q2-2025,Tỷ VND,825.06,KQKD - Doanh nghiệp
