ticker,industry,name,period,unit,value,group
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2024,%,0.3564,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2024,%,0.2536,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2024,%,0.4714,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2024,%,0.425,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2025,%,0.7394,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2025,%,1.0082,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2025,%,0.5122,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2025,%,0.1772,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q1-2025,%,0.5047,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q1-2025,%,0.2074,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q1-2025,%,0.0101,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q4-2024,%,0.7678,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q4-2024,%,1.0538,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q4-2024,%,1.0364,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q4-2024,%,0.2445,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q3-2024,%,0.613,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q3-2024,%,0.7265,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q3-2024,%,0.7006,So với kế hoạch
