ticker,industry,name,period,unit,value
IDI,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7223260000000.0
STK,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,997060000000.0
ELC,Công nghệ Thông tin,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1184520000000.0
VOS,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2098920000000.0
HTM,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1043480000000.0
LIX,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,918560000000.0
HQC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6675960000000.0
PLC,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3225300000000.0
PAT,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,619450000000.0
SWC,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,689170000000.0
KSB,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2013570000000.0
LCG,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4607210000000.0
LAS,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2271310000000.0
TNH,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,298040000000.0
VLB,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,697680000000.0
PGI,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7108190000000.0
EVG,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4227990000000.0
SGR,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1566160000000.0
PGS,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1769300000000.0
DMC,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1527250000000.0
ITA,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5807980000000.0
PAC,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1832260000000.0
PPH,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1766590000000.0
ABI,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4180319999999.9995
VGG,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4077150000000.0
PRE,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5717560000000.0
CTF,Ô tô và phụ tùng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2780520000000.0
VGS,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1326970000000.0
TTA,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,272790000000.00003
TRC,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,587550000000.0
TIG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2039610000000.0
TDC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1812640000000.0
FIT,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5351690000000.0
SBA,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,90320000000.0
MTA,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,712540000000.0
LSG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,486420000000.0
APH,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6432620000000.0
HTG,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2095060000000.0
ITC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2165120000000.0
CTI,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,481720000000.0
HPX,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6280150000000.0
VOC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1724550000000.0
LBM,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,273250000000.0
THG,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1554500000000.0
DCL,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1432010000000.0
HAX,Ô tô và phụ tùng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1315740000000.0
NAF,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,991070000000.0
MVC,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,691510000000.0
PVP,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1321370000000.0
